zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
23398,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54968,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54909,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53964,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53559,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
54966,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53944,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.1319960598191099,0.08450961282245024,0.174329272496997
